Day,Cash On Hand (Accumulated) (SGD)
0,3500000
1,3487400
2,3412200
3,807120
4,58236
5,558214
6,111779
7,126069
8,198248
9,254054
10,224307
11,265974
12,124343
13,120232
14,146459
15,177757
16,83735
17,119630
18,106818
19,76358
20,128318
21,75973
22,290660
23,332748
24,154032
25,95189
26,202480
27,245591
28,532611
29,357625
30,294509
31,313832
32,374952
33,237109
34,285884
35,304057
36,103331
37,342478
38,378597
39,223267
40,535228
41,426638
42,26382
43,533141
44,136316
45,533061
46,913418
47,853065
48,429032
49,422597
50,298703
51,651601
52,901549
53,1257096
54,1586224
55,1171012
56,2545958
57,2009015
58,1689850
59,1261256
60,939153
61,979842
62,374866
63,382411
64,593691
65,53737
66,79113
67,120042
68,420449
69,274035
70,342199
71,1743569
72,2350017
73,3430016
74,3315420
75,3474406
76,2568040
77,3078316
78,2983343
79,3792451
80,3843319
81,4702208
82,5930217
83,5329628
84,6137072
85,6980443
86,5328358
87,5271231
88,5376525
89,7020053
90,8571383
