Day,Daily Revenue (Daily) (SGD)
0,0
1,0
2,0
3,0
4,81251
5,79391
6,107607
7,89133
8,121144
9,90619
10,2213506
11,91329
12,89915
13,92266
14,92104
15,92995
16,89851
17,90722
18,93089
19,88469
20,88038
21,1134614
22,87658
23,135886
24,102288
25,99011
26,142377
27,95653
28,1158385
29,98369
30,99970
31,102093
32,143966
33,850464
34,843447
35,714011
36,102907
37,1451572
38,105101
39,146364
40,148755
41,1472207
42,212186
43,155213
44,853077
45,767812
46,980709
47,260689
48,154441
49,152307
50,157933
51,583197
52,379401
53,422502
54,560411
55,203046
56,1498732
57,208185
58,297624
59,145198
60,691489
61,111632
62,116589
63,117421
64,130712
65,705243
66,140437
67,732081
68,516802
69,138011
70,854744
71,1515687
72,821851
73,1360241
74,593237
75,547233
76,141237
77,661115
78,1099391
79,999897
80,172694
81,1601167
82,1460709
83,190370
84,958228
85,965950
86,191669
87,198450
88,199330
89,1568788
90,1674148
