Day,Sales,Trading Profit,Operating Expense,Net Profit
0,0,0,0,0
1,0,0,12600,-12600
2,0,0,75200,-75200
3,0,0,215080,-215080
4,81251,39254,37135,2119
5,79391,38478,214413,-175935
6,107607,52566,48042,4524
7,89133,43570,72813,-29243
8,121144,74494,46813,27681
9,90619,44290,44813,-523
10,2213506,405213,67813,337400
11,91329,44636,45461,-825
12,89915,43853,49661,-5808
13,92266,45005,43877,1128
14,92104,44950,75877,-30927
15,92995,45406,53949,-8543
16,89851,43994,44078,-84
17,90722,44900,46078,-1178
18,93089,46311,115901,-69590
19,88469,44182,44078,104
20,88038,41846,46078,-4232
21,1134614,312485,146726,165759
22,87658,42071,39798,2273
23,135886,88697,98798,-10101
24,102288,54739,46014,8725
25,99011,53036,137884,-84848
26,142377,97033,40086,56947
27,95653,51103,42086,9017
28,1158385,360757,280845,79912
29,98369,52530,278355,-225825
30,99970,53341,168086,-114745
31,102093,54567,87770,-33203
32,143966,99212,87846,11366
33,850464,483490,40046,443444
34,843447,479611,39789,439822
35,714011,406997,75838,331159
36,102907,58826,94433,-35607
37,1451572,566155,325805,240350
38,105101,60413,73982,-13569
39,146364,102585,73599,28986
40,148755,104238,149107,-44869
41,1472207,586740,273297,313443
42,212186,134773,125254,9519
43,155213,112116,144454,-32338
44,853077,601506,72402,529104
45,767812,538858,103007,435851
46,980709,392037,160932,231105
47,260689,188812,162092,26720
48,154441,115416,132499,-17083
49,152307,113959,101242,12717
50,157933,118348,73592,44756
51,583197,257559,221073,36486
52,379401,286761,71953,214808
53,422502,317601,71955,245646
54,560411,424175,150641,273534
55,203046,138012,88490,49522
56,1498732,628318,108508,519810
57,208185,141706,73508,68198
58,297624,268860,333789,-64929
59,145198,116830,138042,-21212
60,691489,196631,181968,14663
61,111632,85789,80943,4846
62,116589,89839,186498,-96659
63,117421,90464,89479,985
64,130712,100777,94135,6642
65,705243,544653,130657,413996
66,140437,110647,120061,-9414
67,732081,315233,156020,159213
68,516802,206430,221395,-14965
69,138011,106146,63163,42983
70,854744,657106,75190,581916
71,1515687,1028756,119317,909439
72,821851,631841,66403,565438
73,1360241,554620,214214,340406
74,593237,260355,103745,156610
75,547233,216499,133247,83252
76,141237,109944,147799,-37855
77,661115,292129,155839,136290
78,1099391,376033,193495,182538
79,999897,286971,138141,148830
80,172694,135156,111252,23904
81,1601167,554170,91563,462607
82,1460709,599219,213124,386095
83,190370,153916,114744,39172
84,958228,773354,155784,617570
85,965950,787656,127579,660077
86,191669,156303,62546,93757
87,198450,162200,121777,40423
88,199330,162986,99036,63950
89,1568788,515716,64760,450956
90,1674148,609356,122818,486538
